FlexPDE Version 7.22/W64  16:05:58 Nov 24 2023
(Times listed are wall-clock times, not charged CPU).

START C:\Users\student\Documents\254883\my file 2.1.pde  11:54:55 3/6/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to C:\Users\student\Documents\254883\my file 2.1_output/my file 2.1_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:00| STEP FAILED at Dt= 1.000e-4. RETRY at Dt= 5.000e-5
 +00:00:00| STEP FAILED at Dt= 5.000e-5. RETRY at Dt= 2.500e-5
 +00:00:00| STEP FAILED at Dt= 2.500e-5. RETRY at Dt= 1.250e-5
 +00:00:00| STEP FAILED at Dt= 1.250e-5. RETRY at Dt= 6.250e-6
 +00:00:00| STEP FAILED at Dt= 6.250e-6. RETRY at Dt= 3.125e-6
 +00:00:00| STEP FAILED at Dt= 3.125e-6. RETRY at Dt= 1.562e-6
 +00:00:00| STEP FAILED at Dt= 1.562e-6. RETRY at Dt= 7.812e-7
 +00:00:00| STEP FAILED at Dt= 7.812e-7. RETRY at Dt= 3.906e-7
 +00:00:00| STEP FAILED at Dt= 3.906e-7. RETRY at Dt= 1.953e-7
 +00:00:01| STEP FAILED at Dt= 1.953e-7. RETRY at Dt= 9.766e-8
 +00:00:01| Step 2 Time= 1.953e-7 Dt= 5.465e-8 Nodes=230 Cells=410 DOF=1918 RMS ERR= 0.017133 MAX ERR= 0.031386 TIME ERR= 0.006387 Orthomin/ILU=(32) MEM(KiB)=11655 
 +00:00:01| Step 3 Time= 2.500e-7 Dt= 5.465e-8 Nodes=230 Cells=410 DOF=1918 RMS ERR= 0.017022 MAX ERR= 0.031354 TIME ERR= 5.020e-4 Orthomin/ILU=(30) MEM(KiB)=11655 
 +00:00:01| Step 4 Time= 3.183e-7 Dt= 6.831e-8 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.010779 MAX ERR= 0.018388 TIME ERR= 8.150e-4 Orthomin/ILU=(34) MEM(KiB)=11689 
 +00:00:01| Step 5 Time= 4.037e-7 Dt= 8.539e-8 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.010543 MAX ERR= 0.018276 TIME ERR= 9.486e-4 Orthomin/ILU=(32) MEM(KiB)=11689 
 +00:00:01| Step 6 Time= 4.890e-7 Dt= 8.539e-8 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.010363 MAX ERR= 0.018169 TIME ERR= 2.290e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 7 Time= 5.958e-7 Dt= 1.067e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.010191 MAX ERR= 0.018044 TIME ERR= 3.256e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 8 Time= 7.292e-7 Dt= 1.334e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.010030 MAX ERR= 0.017901 TIME ERR= 4.018e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 9 Time= 8.960e-7 Dt= 1.668e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009884 MAX ERR= 0.017773 TIME ERR= 4.889e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 10 Time= 1.104e-6 Dt= 2.085e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009759 MAX ERR= 0.017663 TIME ERR= 5.761e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 11 Time= 1.365e-6 Dt= 2.606e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009659 MAX ERR= 0.017573 TIME ERR= 6.532e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 12 Time= 1.691e-6 Dt= 3.257e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009585 MAX ERR= 0.017514 TIME ERR= 7.139e-4 Orthomin/ILU=(30) MEM(KiB)=11689 
 +00:00:01| Step 13 Time= 2.098e-6 Dt= 4.072e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009534 MAX ERR= 0.017495 TIME ERR= 7.617e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 14 Time= 2.607e-6 Dt= 5.089e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009502 MAX ERR= 0.017523 TIME ERR= 8.215e-4 Orthomin/ILU=(30) MEM(KiB)=11689 
 +00:00:01| Step 15 Time= 3.116e-6 Dt= 5.089e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009490 MAX ERR= 0.017580 TIME ERR= 5.371e-4 Orthomin/ILU=(30) MEM(KiB)=11689 
 +00:00:01| Step 16 Time= 3.752e-6 Dt= 6.362e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009492 MAX ERR= 0.017665 TIME ERR= 6.664e-4 Orthomin/ILU=(30) MEM(KiB)=11689 
 +00:00:01| Step 17 Time= 4.547e-6 Dt= 7.952e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009507 MAX ERR= 0.017770 TIME ERR= 7.112e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 18 Time= 5.541e-6 Dt= 9.940e-7 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009532 MAX ERR= 0.017884 TIME ERR= 7.390e-4 Orthomin/ILU=(29) MEM(KiB)=11689 
 +00:00:01| Step 19 Time= 6.784e-6 Dt= 1.243e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009562 MAX ERR= 0.017991 TIME ERR= 7.332e-4 Orthomin/ILU=(32) MEM(KiB)=11689 
 +00:00:01| Step 20 Time= 8.337e-6 Dt= 1.553e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009589 MAX ERR= 0.018074 TIME ERR= 7.471e-4 Orthomin/ILU=(32) MEM(KiB)=11689 
 +00:00:01| Step 21 Time= 1.028e-5 Dt= 1.941e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009605 MAX ERR= 0.018117 TIME ERR= 8.290e-4 Orthomin/ILU=(32) MEM(KiB)=11689 
 +00:00:01| Step 22 Time= 1.222e-5 Dt= 1.941e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009604 MAX ERR= 0.018109 TIME ERR= 6.080e-4 Orthomin/ILU=(32) MEM(KiB)=11689 
 +00:00:01| Step 23 Time= 1.465e-5 Dt= 2.427e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009586 MAX ERR= 0.018053 TIME ERR= 8.924e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 24 Time= 1.707e-5 Dt= 2.427e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009552 MAX ERR= 0.017959 TIME ERR= 6.599e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 25 Time= 2.011e-5 Dt= 3.034e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.009492 MAX ERR= 0.017808 TIME ERR= 9.026e-4 Orthomin/ILU=(31) MEM(KiB)=11689 
 +00:00:01| Step 26 Time= 2.314e-5 Dt= 3.034e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.008366 MAX ERR= 0.016346 TIME ERR= 7.128e-4 Orthomin/ILU=(31) MEM(KiB)=11691 
 +00:00:01| Step 27 Time= 2.693e-5 Dt= 3.792e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.008268 MAX ERR= 0.016079 TIME ERR= 0.001183 Orthomin/ILU=(31) MEM(KiB)=11691 
 +00:00:01| Step 28 Time= 3.072e-5 Dt= 3.792e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.008163 MAX ERR= 0.015894 TIME ERR= 4.665e-4 Orthomin/ILU=(33) MEM(KiB)=11691 
 +00:00:01| Step 29 Time= 3.546e-5 Dt= 4.740e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.008027 MAX ERR= 0.015667 TIME ERR= 5.198e-4 Orthomin/ILU=(31) MEM(KiB)=11691 
 +00:00:01| Step 30 Time= 4.139e-5 Dt= 5.925e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.007854 MAX ERR= 0.015354 TIME ERR= 4.746e-4 Orthomin/ILU=(31) MEM(KiB)=11691 
 +00:00:01| Step 31 Time= 4.879e-5 Dt= 7.406e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.007639 MAX ERR= 0.014942 TIME ERR= 4.227e-4 Orthomin/ILU=(31) MEM(KiB)=11691 
 +00:00:01| Step 32 Time= 5.805e-5 Dt= 9.258e-6 Nodes=230 Cells=408 DOF=1912 RMS ERR= 0.007383 MAX ERR= 0.014437 TIME ERR= 4.487e-4 Orthomin/ILU=(30) MEM(KiB)=11691 
